,USER
Price/Earnings (TTM),
Price/Sales (TTM),5.77896
Price/Book (MRQ),8.3543
Price/Cash Flow (TTM),
5yr Low,3.31
5yr High,15.98
5yr Avg Return,-0.28600000000000003
Short Int Current Month,1940941.0
Short Int Prev Month,2444453.0
Short Int Pct of Float,0.019183099999999998
Days to Cover,0.80614
Float,124.0396
Shares Outstanding,144.713
Institutions Holding Shares,91.0
% Held by Institutions,0.866851
FCF Growth 5yr,-0.16886522557488534
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
