,MC
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.5599250936329587
Growth 1yr High Est,-0.5543859649122806
Growth 1yr Consensus Est,-0.5571555292726197
Growth 2yr Low Est,-0.3395370149015858
Growth 2yr High Est,-0.18664180135377817
Growth 2yr Consensus Est,-0.263089408127682
Growth 5yr Low Est,-0.3395370149015858
Growth 5yr High Est,-0.18664180135377817
Growth 5yr Consensus Est,-0.263089408127682
Growth 5yr Actual/Est,0.1949148433994334
Growth 3yr Historic,0.33509099516095103
