,MC
Price/Earnings (TTM),13.09754
Price/Sales (TTM),2.43586
Price/Book (MRQ),6.80983
Price/Cash Flow (TTM),10.95449
5yr Low,22.11
5yr High,77.49
5yr Avg Return,0.02215
EPS Growth 5yr,0.275061
Revenue Growth 5yr,0.20224689999999998
Dividend Growth 5yr,0.0651369
Short Int Current Month,3331146.0
Short Int Prev Month,2750652.0
Short Int Pct of Float,0.0527488
Days to Cover,4.1905
Float,63.15446
Shares Outstanding,68.6017
Institutions Holding Shares,322.0
% Held by Institutions,0.960925
FCF Growth 5yr,-0.6917589239658216
