,MC
% Above Low,0.29
% Held by Institutions,0.9609000000000001
52-Wk Range,['33.12 - 64.56']
Annual Dividend $,2.4
Annual Dividend %,0.0562
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.4
Bid,30.74
Bid Size,
Closing Price,42.72
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",3.26
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.42100000000000004
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,2.7B
"P/E Ratio (TTM, GAAP)",13.1
Prev Close,42.72
Shares Outstanding,64.0M
Short Interest,0.0527
Today's Open,
Volume,253727.0
Volume 10-day Avg,591356.0
Volume Past Day,(Light)
