,ROCK
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.3400000000000001
Growth 1yr High Est,0.3333333333333335
Growth 1yr Consensus Est,0.3366666666666668
Growth 2yr Low Est,0.19388059701492533
Growth 2yr High Est,0.2181372549019609
Growth 2yr Consensus Est,0.2060089259584431
Growth 5yr Low Est,0.09694029850746266
Growth 5yr High Est,0.10906862745098045
Growth 5yr Consensus Est,0.10300446297922156
Growth 5yr Actual/Est,0.08298763264958048
Growth 3yr Historic,0.012125924390075316
