,ROCK
Price/Earnings (TTM),18.45476
Price/Sales (TTM),1.10991
Price/Book (MRQ),1.88802
Price/Cash Flow (TTM),13.49047
5yr Low,29.5
5yr High,103.02
5yr Avg Return,0.09866666666666667
EPS Growth 5yr,0.1647891
Revenue Growth 5yr,0.0585623
Dividend Growth 5yr,
Short Int Current Month,556183.0
Short Int Prev Month,634072.0
Short Int Pct of Float,0.0180713
Days to Cover,3.1597
Float,30.77953
Shares Outstanding,30.97097
Institutions Holding Shares,268.0
% Held by Institutions,1.033998
FCF Growth 5yr,-2.170489027031826
