,ROCK
% Above Low,0.3641
% Held by Institutions,1.034
52-Wk Range,['36.58 - 74.11']
Annual Dividend $,
Annual Dividend %,
Ask,49.93
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.2
Bid,49.87
Bid Size,200.0
Day Change $,-0.65
Day Change %,-0.0129
Day High,50.57
Day Low,49.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.74
Ex-dividend Date,No dividend
Historical Volatility,0.446
Last (size),100.0
Last (time),1:07p ET 11/28/22
Market Cap,1.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.45
Prev Close,50.55
Price,49.9
Shares Outstanding,31.0M
Short Interest,0.0181
Today's Open,50.19
Volume Past Day,(Light)
