,RMAX
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.07391304347826089
Growth 1yr High Est,-0.06666666666666654
Growth 1yr Consensus Est,-0.07028985507246371
Growth 2yr Low Est,-0.13554807103490507
Growth 2yr High Est,-0.031101190476190477
Growth 2yr Consensus Est,-0.08332463075554777
Growth 5yr Low Est,-0.039027265491612756
Growth 5yr High Est,0.01531005264382923
Growth 5yr Consensus Est,-0.011858606423891763
Growth 5yr Actual/Est,-0.008464641721466826
Growth 3yr Historic,0.03677466150870404
