,RMAX
% Above Low,0.1585
% Held by Institutions,0.9469
52-Wk Range,['17.03 - 31.91']
Annual Dividend $,0.92
Annual Dividend %,0.04650000000000001
Ask,19.76
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,1.3
Bid,19.67
Bid Size,300.0
Day Change $,-0.04
Day Change %,-0.002
Day High,19.93
Day Low,19.54
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",0.55
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.369
Last (size),100.0
Last (time),12:56p ET 11/28/22
Market Cap,360.9M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",35.78
Prev Close,19.77
Price,19.73
Shares Outstanding,18.2M
Short Interest,0.028999999999999998
Today's Open,19.54
Volume Past Day,(Light)
