,RMAX
Price/Earnings (TTM),35.77633
Price/Sales (TTM),0.99842
Price/Book (MRQ),0.73714
Price/Cash Flow (TTM),6.69448
5yr Low,14.4
5yr High,61.27
5yr Avg Return,-0.12533333333333332
EPS Growth 5yr,
Revenue Growth 5yr,0.1342228
Dividend Growth 5yr,0.08924939999999999
Short Int Current Month,507480.0
Short Int Prev Month,568737.0
Short Int Pct of Float,0.0289832
Days to Cover,2.63922
Float,17.57064
Shares Outstanding,18.24542
Institutions Holding Shares,186.0
% Held by Institutions,0.946942
FCF Growth 5yr,0.554969351960854
