,DD
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.21822541966426867
Growth 1yr High Est,-0.21779859484777508
Growth 1yr Consensus Est,-0.21801200725602188
Growth 2yr Low Est,-0.08150534786894409
Growth 2yr High Est,0.016849205570124426
Growth 2yr Consensus Est,-0.03232807114940983
Growth 5yr Low Est,-0.012752673934472075
Growth 5yr High Est,0.03355346876444362
Growth 5yr Consensus Est,0.010400397414985774
Growth 5yr Actual/Est,0.1135368611450365
Growth 3yr Historic,0.1318200762086211
