,DD
Price/Earnings (TTM),31.13162
Price/Sales (TTM),2.4955
Price/Book (MRQ),1.42088
Price/Cash Flow (TTM),14.20394
5yr Low,28.33
5yr High,231.24
5yr Avg Return,-0.12140000000000001
EPS Growth 5yr,-0.2120723
Revenue Growth 5yr,-0.1913421
Dividend Growth 5yr,-0.2630339
Short Int Current Month,20365969.0
Short Int Prev Month,6420847.0
Short Int Pct of Float,0.0410586
Days to Cover,3.85526
Float,496.0847
Shares Outstanding,496.7889
Institutions Holding Shares,1490.0
% Held by Institutions,0.724257
FCF Growth 5yr,-0.8592782916523923
