,AFG
% Below High,0.0579
% Held by Institutions,0.6308
52-Wk Range,['119.01 - 152.29']
Annual Dividend $,2.52
Annual Dividend %,0.0176
Ask,150.99
Ask Size,500.0
B/A Ratio,1.0
B/A Size,500x500
Beta,0.8
Bid,127.99
Bid Size,500.0
Closing Price,143.47
Day Change $,1.01
Day Change %,0.0070999999999999995
Day High,144.62
Day Low,142.61
Dividend Pay Date,2022-10-25 00:00:00
"EPS (TTM, GAAP)",11.47
Ex-dividend,2022-10-13 00:00:00
Ex-dividend Date,10/13/22
Historical Volatility,0.27899999999999997
Last (size),25.0
Last (time),5:00p ET 11/25/22
Market Cap,12.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.51
Prev Close,142.46
Shares Outstanding,85.1M
Short Interest,0.012
Today's Open,143.24
Volume,242372.0
Volume 10-day Avg,417692.0
Volume Past Day,(Light)
