,SHEN
Price/Earnings (TTM),
Price/Sales (TTM),3.83307
Price/Book (MRQ),1.55087
Price/Cash Flow (TTM),19.22582
5yr Low,15.63
5yr High,61.53
5yr Avg Return,-0.08398333333333334
EPS Growth 5yr,
Revenue Growth 5yr,-0.14453860000000002
Dividend Growth 5yr,-0.2247682
Short Int Current Month,1108931.0
Short Int Prev Month,1150517.0
Short Int Pct of Float,0.023137699999999997
Days to Cover,6.13951
Float,48.02323
Shares Outstanding,50.0983
Institutions Holding Shares,195.0
% Held by Institutions,0.551803
FCF Growth 5yr,0.08655312246553126
