,SHEN
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,-1.1238938053097345
Growth 1yr High Est,-1.1206896551724137
Growth 1yr Consensus Est,-1.122291730241074
Growth 2yr Low Est,-0.6690897597977243
Growth 2yr High Est,-0.8103448275862069
Growth 2yr Consensus Est,-0.7397172936919656
Growth 5yr Low Est,-0.33454487989886217
Growth 5yr High Est,-0.4051724137931034
Growth 5yr Consensus Est,-0.3698586468459828
Growth 5yr Actual/Est,-0.46722543760587243
Growth 3yr Historic,0.09081027667984184
