,UTL
% Below High,0.1477
% Held by Institutions,0.7548
52-Wk Range,['40.75 - 61.10']
Annual Dividend $,1.56
Annual Dividend %,0.0296
Ask,56.51
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.5
Bid,20.83
Bid Size,100.0
Closing Price,52.08
Day Change $,-0.66
Day Change %,-0.0125
Day High,52.94
Day Low,51.99
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",2.59
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.32299999999999995
Last (size),123.0
Last (time),7:00p ET 11/28/22
Market Cap,835.4M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.38
Prev Close,52.74
Shares Outstanding,16.0M
Short Interest,0.0121
Today's Open,52.85
Volume,38965.0
Volume 10-day Avg,61568.0
Volume Past Day,(Light)
