,UTL
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.08154506437768227
Growth 1yr High Est,0.06451612903225823
Growth 1yr Consensus Est,0.07303059670497025
Growth 2yr Low Est,0.07450269091899986
Growth 2yr High Est,0.058773216031280606
Growth 2yr Consensus Est,0.06663795347514023
Growth 5yr Low Est,0.09705408152769923
Growth 5yr High Est,0.10138310095865277
Growth 5yr Consensus Est,0.099218591243176
Growth 5yr Actual/Est,-0.007733778490829402
Growth 3yr Historic,-0.04576775507008063
