,PB
Price/Earnings (TTM),13.62598
Price/Sales (TTM),6.11928
Price/Book (MRQ),1.05121
Price/Cash Flow (TTM),12.83483
5yr Low,42.02
5yr High,83.02
5yr Avg Return,0.016716666666666668
EPS Growth 5yr,0.0730784
Revenue Growth 5yr,0.09149570000000001
Dividend Growth 5yr,0.1064566
Short Int Current Month,1894139.0
Short Int Prev Month,2271572.0
Short Int Pct of Float,0.0216819
Days to Cover,5.22124
Float,87.36798
Shares Outstanding,91.30855
Institutions Holding Shares,413.0
% Held by Institutions,0.8487709999999999
FCF Growth 5yr,0.1038859719791464
