,PB
% Below High,0.0664
% Held by Institutions,0.8488
52-Wk Range,['64.69 - 80.46']
Annual Dividend $,2.2
Annual Dividend %,0.028900000000000002
Ask,75.3
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,75.14
Bid Size,100.0
Day Change $,-1.08
Day Change %,-0.014199999999999999
Day High,75.72
Day Low,74.88
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",5.59
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.25
Last (size),100.0
Last (time),10:09a ET 11/28/22
Market Cap,6.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.63
Prev Close,76.2
Price,75.12
Shares Outstanding,91.3M
Short Interest,0.0217
Today's Open,75.72
Volume Past Day,(Light)
