,ASPN
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,2.8870967741935485
Growth 1yr High Est,2.3499999999999996
Growth 1yr Consensus Est,2.618548387096774
Growth 2yr Low Est,1.3294405032793468
Growth 2yr High Est,0.864054726368159
Growth 2yr Consensus Est,1.096747614823753
Growth 5yr Low Est,0.6647202516396734
Growth 5yr High Est,0.4320273631840795
Growth 5yr Consensus Est,0.5483738074118765
Growth 5yr Actual/Est,0.3029112009877897
Growth 3yr Historic,0.24944779116465865
