,ASPN
% Above Low,0.6720999999999999
% Held by Institutions,0.9024
52-Wk Range,['7.93 - 61.50']
Annual Dividend $,
Annual Dividend %,
Ask,14.2
Ask Size,400.0
B/A Ratio,1.0
B/A Size,400x400
Beta,2.3
Bid,11.1
Bid Size,400.0
Closing Price,13.26
Day Change $,0.23
Day Change %,0.0177
Day High,13.33
Day Low,12.92
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.52
Ex-dividend Date,No dividend
Historical Volatility,1.001
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,542.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,13.03
Shares Outstanding,40.9M
Short Interest,0.07429999999999999
Today's Open,12.92
Volume,96980.0
Volume 10-day Avg,359260.0
Volume Past Day,(Light)
