,BTAI
% Above Low,0.7748999999999999
% Held by Institutions,0.4607
52-Wk Range,['8.80 - 24.57']
Annual Dividend $,
Annual Dividend %,
Ask,15.5
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.3
Bid,14.72
Bid Size,300.0
Closing Price,15.61
Day Change $,0.1
Day Change %,0.0064
Day High,15.77
Day Low,15.32
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.9
Ex-dividend Date,No dividend
Historical Volatility,0.88
Last (size),25.0
Last (time),1:00p ET 11/25/22
Market Cap,437.4M
"P/E Ratio (TTM, GAAP)",
Prev Close,15.51
Shares Outstanding,28.0M
Short Interest,0.1244
Today's Open,15.47
Volume,54058.0
Volume 10-day Avg,290771.0
Volume Past Day,(Light)
