,BTAI
Price/Earnings (TTM),
Price/Sales (TTM),3193.011
Price/Book (MRQ),3.44478
Price/Cash Flow (TTM),
5yr Low,2.41
5yr High,71.5
5yr Avg Return,0.7217
Short Int Current Month,2362736.0
Short Int Prev Month,2533208.0
Short Int Pct of Float,0.12440609999999999
Days to Cover,8.80324
Float,18.99212
Shares Outstanding,28.02323
Institutions Holding Shares,134.0
% Held by Institutions,0.460728
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
