,EVRG
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.011428571428571455
Growth 1yr High Est,0.0027855153203342198
Growth 1yr Consensus Est,-0.004321528054118617
Growth 2yr Low Est,0.011626754748142065
Growth 2yr High Est,0.037503868771278204
Growth 2yr Consensus Est,0.024565311759710134
Growth 5yr Low Est,0.06352643982811404
Growth 5yr High Est,0.0666013967512305
Growth 5yr Consensus Est,0.06506391828967227
Growth 5yr Actual/Est,0.06627280668160873
Growth 3yr Historic,0.05364996093313984
