,EVRG
% Above Low,0.0904
% Held by Institutions,0.8521
52-Wk Range,['54.12 - 73.13']
Annual Dividend $,2.45
Annual Dividend %,0.0415
Ask,59.84
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.5
Bid,58.33
Bid Size,100.0
Closing Price,59.01
Day Change $,0.68
Day Change %,0.011699999999999999
Day High,59.22
Day Low,58.35
Dividend Pay Date,2022-12-20 00:00:00
"EPS (TTM, GAAP)",3.46
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.233
Last (size),5700.0
Last (time),5:00p ET 11/25/22
Market Cap,13.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",17.03
Prev Close,58.33
Shares Outstanding,229.5M
Short Interest,0.0108
Today's Open,58.77
Volume,1134566.0
Volume 10-day Avg,3168748.0
Volume Past Day,(Light)
