,MORF
Price/Earnings (TTM),
Price/Sales (TTM),14.29314
Price/Book (MRQ),2.90475
Price/Cash Flow (TTM),
5yr Low,9.9
5yr High,93.0
5yr Avg Return,0.22695
Short Int Current Month,3483597.0
Short Int Prev Month,3614959.0
Short Int Pct of Float,0.11041980000000001
Days to Cover,10.51189
Float,31.56867
Shares Outstanding,38.55252
Institutions Holding Shares,170.0
% Held by Institutions,0.855233
FCF Growth 5yr,0.21198712128012978
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
