,MORF
% Above Low,0.4311
% Held by Institutions,0.8552
52-Wk Range,['19.23 - 52.34']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.2
Bid,
Bid Size,
Closing Price,27.52
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.53
Ex-dividend Date,No dividend
Historical Volatility,0.7290000000000001
Last (size),12.0
Last (time),1:00p ET 11/25/22
Market Cap,1.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,27.52
Shares Outstanding,38.6M
Short Interest,0.1104
Today's Open,
Volume,63202.0
Volume 10-day Avg,232483.0
Volume Past Day,(Light)
