,KO
% Below High,0.06709999999999999
% Held by Institutions,0.6951
52-Wk Range,['52.28 - 67.20']
Annual Dividend $,1.76
Annual Dividend %,0.0281
Ask,62.69
Ask Size,900.0
B/A Ratio,0.8888888888888888
B/A Size,800x900
Beta,0.6
Bid,62.65
Bid Size,800.0
Closing Price,62.69
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",2.28
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.20500000000000002
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,271.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",27.48
Prev Close,62.69
Shares Outstanding,4.3B
Short Interest,0.0074
Today's Open,
Volume,5165499.0
Volume 10-day Avg,13013099.0
Volume Past Day,(Light)
