,MMC
% Below High,0.061799999999999994
% Held by Institutions,0.8809999999999999
52-Wk Range,['142.80 - 183.14']
Annual Dividend $,2.36
Annual Dividend %,0.0137
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.9
Bid,152.28
Bid Size,
Closing Price,171.82
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",6.67
Ex-dividend,2022-10-06 00:00:00
Ex-dividend Date,10/06/22
Historical Volatility,0.257
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,85.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",25.78
Prev Close,171.82
Shares Outstanding,496.0M
Short Interest,0.0087
Today's Open,
Volume,535154.0
Volume 10-day Avg,1572910.0
Volume Past Day,(Light)
