,MNTV
% Above Low,0.4645
% Held by Institutions,0.7865000000000001
52-Wk Range,['5.14 - 22.56']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
Ask close,9.22
B/A Ratio,
B/A Size,--
Beta,1.5
Bid,
Bid Size,
Bid close,5.86
Change Since Close,-0.22| |(-2.93%)
Closing Price,7.52
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.86
Ex-dividend Date,No dividend
Historical Volatility,0.613
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,7.3
Market Cap,1.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,7.52
Shares Outstanding,148.7M
Short Interest,0.0687
Today's Open,
Volume,1.0
Volume 10-day Avg,1758515.0
Volume Past Day,(Light)
