,MNTV
Price/Earnings (TTM),
Price/Sales (TTM),2.34928
Price/Book (MRQ),4.28693
Price/Cash Flow (TTM),
5yr Low,5.14
5yr High,28.12
5yr Avg Return,-0.05168000000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.16443960000000002
Dividend Growth 5yr,
Short Int Current Month,8788543.0
Short Int Prev Month,6900618.0
Short Int Pct of Float,0.068729
Days to Cover,4.69088
Float,128.2528
Shares Outstanding,148.6626
Institutions Holding Shares,257.0
% Held by Institutions,0.786458
FCF Growth 5yr,-0.44922433486114594
