,MNTV
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-3.8000000000000003
Growth 1yr High Est,-8.5
Growth 1yr Consensus Est,-6.15
Growth 2yr Low Est,-1.2571428571428573
Growth 2yr High Est,-3.4833333333333334
Growth 2yr Consensus Est,-2.3702380952380953
Growth 5yr Low Est,-0.7223214285714288
Growth 5yr High Est,-1.9083333333333332
Growth 5yr Consensus Est,-1.3153273809523809
Growth 5yr Actual/Est,-3.5928571428571434
Growth 3yr Historic,-0.2
