,NEXT
% Below High,0.35850000000000004
% Held by Institutions,0.8281999999999999
52-Wk Range,['2.08 - 8.95']
Annual Dividend $,
Annual Dividend %,
Ask,5.64
Ask Size,1000.0
Ask close,7.08
B/A Ratio,1.0
B/A Size,1000x1000
Beta,1.0
Bid,5.1
Bid Size,1000.0
Bid close,4.48
Change Since Close,-0.22| |(-3.83%)
Closing Price,5.74
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.58
Ex-dividend Date,No dividend
Historical Volatility,0.927
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,5.52
Market Cap,828.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,5.74
Shares Outstanding,144.4M
Short Interest,0.0282
Today's Open,
Volume,3.0
Volume 10-day Avg,619434.0
Volume Past Day,(Light)
