,NEXT
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),10.76494
Price/Cash Flow (TTM),
5yr Low,1.12
5yr High,10.29
5yr Avg Return,0.04510000000000002
Short Int Current Month,3810734.0
Short Int Prev Month,3933958.0
Short Int Pct of Float,0.0282242
Days to Cover,7.46541
Float,135.153
Shares Outstanding,144.3921
Institutions Holding Shares,125.0
% Held by Institutions,0.828245
FCF Growth 5yr,0.2668231918841654
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
