,NEXT
Next Earnings Announcement,
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,2.3285714285714287
Growth 2yr High Est,-0.29729729729729726
Growth 2yr Consensus Est,1.0156370656370657
Growth 5yr Low Est,2.3285714285714287
Growth 5yr High Est,-0.29729729729729726
Growth 5yr Consensus Est,1.0156370656370657
Growth 5yr Actual/Est,0.30181013937833195
Growth 3yr Historic,-0.057411674347158215
