,TRU
% Above Low,0.1955
% Held by Institutions,0.9745999999999999
52-Wk Range,['50.32 - 120.36']
Annual Dividend $,0.42
Annual Dividend %,0.0068000000000000005
Ask,107.0
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.3
Bid,60.05
Bid Size,300.0
Change Since Close,0.00| |(0.00%)
Closing Price,60.16
Day Change $,-1.57
Day Change %,-0.0254
Day High,61.3
Day Low,59.91
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",1.06
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.405
Last (size),2.0
Last (time),7:00p ET 11/28/22
Last Trade,0.0
Market Cap,11.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",58.4
Prev Close,61.73
Shares Outstanding,192.7M
Short Interest,0.0166
Today's Open,60.93
Volume,878344.0
Volume 10-day Avg,1097696.0
Volume Past Day,(Below Average)
