,TRU
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.29963898916967513
Growth 1yr High Est,0.2178217821782178
Growth 1yr Consensus Est,0.25873038567394646
Growth 2yr Low Est,-0.0543471720818291
Growth 2yr High Est,0.1509163111433095
Growth 2yr Consensus Est,0.0482845695307402
Growth 5yr Low Est,-0.0034581710211516736
Growth 5yr High Est,0.09503110930830955
Growth 5yr Consensus Est,0.04578646914357894
Growth 5yr Actual/Est,0.07010612284218598
Growth 3yr Historic,0.05548387096774193
