,STEP
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.2064516129032259
Growth 1yr High Est,-0.18452380952380942
Growth 1yr Consensus Est,-0.19548771121351766
Growth 2yr Low Est,-0.021924993443482865
Growth 2yr High Est,0.02817605144247476
Growth 2yr Consensus Est,0.0031255289994959468
Growth 5yr Low Est,-0.021924993443482865
Growth 5yr High Est,0.02817605144247476
Growth 5yr Consensus Est,0.0031255289994959468
Growth 5yr Actual/Est,0.28156430442787267
Growth 3yr Historic,0.2835249042145594
