,STEP
% Above Low,0.3178
% Held by Institutions,0.8183
52-Wk Range,['22.39 - 44.88']
Annual Dividend $,0.8
Annual Dividend %,0.0262
Ask,29.52
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,
Bid,29.49
Bid Size,100.0
Day Change $,-1.07
Day Change %,-0.0348
Day High,30.53
Day Low,29.5
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",0.78
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.452
Last (size),100.0
Last (time),3:28p ET 11/28/22
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",39.05
Prev Close,30.57
Price,29.51
Shares Outstanding,62.1M
Short Interest,0.0206
Today's Open,30.26
Volume Past Day,(Light)
