,STEP
Price/Earnings (TTM),39.05162
Price/Sales (TTM),6.07726
Price/Book (MRQ),4.36869
Price/Cash Flow (TTM),17.68965
5yr Low,22.39
5yr High,55.19
5yr Avg Return,0.11726666666666669
EPS Growth 5yr,0.5349195
Revenue Growth 5yr,0.5255434999999999
Dividend Growth 5yr,
Short Int Current Month,1002656.0
Short Int Prev Month,1269278.0
Short Int Pct of Float,0.020587300000000003
Days to Cover,2.69555
Float,48.69584
Shares Outstanding,108.7783
Institutions Holding Shares,177.0
% Held by Institutions,0.8182680000000001
FCF Growth 5yr,0.3198598297216395
