,SASR
% Above Low,0.0501
% Held by Institutions,0.6652
52-Wk Range,['32.33 - 52.04']
Annual Dividend $,1.36
Annual Dividend %,0.039
Ask,34.08
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.0
Bid,33.94
Bid Size,200.0
Day Change $,-0.93
Day Change %,-0.026699999999999998
Day High,34.74
Day Low,33.93
Dividend Pay Date,2022-11-16 00:00:00
"EPS (TTM, GAAP)",3.92
Ex-dividend,2022-11-08 00:00:00
Ex-dividend Date,11/08/22
Historical Volatility,0.295
Last (size),100.0
Last (time),1:36p ET 11/28/22
Market Cap,1.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",8.89
Prev Close,34.88
Price,33.95
Shares Outstanding,44.6M
Short Interest,0.024900000000000002
Today's Open,34.74
Volume Past Day,(Light)
