,COMP
Price/Earnings (TTM),
Price/Sales (TTM),0.19094
Price/Book (MRQ),1.94613
Price/Cash Flow (TTM),
5yr Low,1.84
5yr High,22.11
5yr Avg Return,-0.6306499999999999
EPS Growth 5yr,
Revenue Growth 5yr,1.028828
Dividend Growth 5yr,
Short Int Current Month,15004896.0
Short Int Prev Month,17661418.0
Short Int Pct of Float,0.0354984
Days to Cover,2.29842
Float,406.7283
Shares Outstanding,435.4731
Institutions Holding Shares,187.0
% Held by Institutions,0.6621429999999999
FCF Growth 5yr,0.44296918382378214
