,COMP
% Above Low,0.5543
% Held by Institutions,0.6620999999999999
52-Wk Range,['1.84 - 11.02']
Annual Dividend $,
Annual Dividend %,
Ask,2.81
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,
Bid,2.65
Bid Size,1000.0
Closing Price,2.86
Day Change $,0.04
Day Change %,0.014199999999999999
Day High,2.86
Day Low,2.73
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.48
Ex-dividend Date,No dividend
Historical Volatility,1.0070000000000001
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,1.2B
"P/E Ratio (TTM, GAAP)",
Prev Close,2.82
Shares Outstanding,435.5M
Short Interest,0.0355
Today's Open,2.75
Volume,564812.0
Volume 10-day Avg,5874855.0
Volume Past Day,(Light)
