,BMY
Price/Earnings (TTM),25.83236
Price/Sales (TTM),3.60471
Price/Book (MRQ),5.15153
Price/Cash Flow (TTM),9.89527
5yr Low,42.48
5yr High,81.17
5yr Avg Return,0.057966666666666666
EPS Growth 5yr,0.0326547
Revenue Growth 5yr,0.1901299
Dividend Growth 5yr,0.0521617
Short Int Current Month,24362467.0
Short Int Prev Month,24766439.0
Short Int Pct of Float,0.011467499999999999
Days to Cover,2.34952
Float,2124.713
Shares Outstanding,2126.16
Institutions Holding Shares,3133.0
% Held by Institutions,0.761684
FCF Growth 5yr,0.13751008982154797
