,BMY
% Below High,0.023799999999999998
% Held by Institutions,0.7617
52-Wk Range,['53.22 - 81.17']
Annual Dividend $,2.16
Annual Dividend %,0.0273
Ask,79.24
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,0.4
Bid,74.5
Bid Size,100.0
Closing Price,79.24
Day Change $,0.1
Day Change %,0.0013
Day High,79.78
Day Low,79.14
Dividend Pay Date,2022-11-01 00:00:00
"EPS (TTM, GAAP)",3.07
Ex-dividend,2022-10-06 00:00:00
Ex-dividend Date,10/06/22
Historical Volatility,0.20600000000000002
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,168.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",25.83
Prev Close,79.14
Shares Outstanding,2.1B
Short Interest,0.0115
Today's Open,79.31
Volume,4734955.0
Volume 10-day Avg,9717290.0
Volume Past Day,(Light)
