,HRTX
% Above Low,0.3105
% Held by Institutions,1.0246
52-Wk Range,['2.19 - 10.46']
Annual Dividend $,
Annual Dividend %,
Ask,3.0
Ask Size,3000.0
B/A Ratio,0.16666666666666666
B/A Size,500x3000
Beta,0.9
Bid,2.71
Bid Size,500.0
Closing Price,2.87
Day Change $,-0.01
Day Change %,-0.0034999999999999996
Day High,2.94
Day Low,2.82
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.09
Ex-dividend Date,No dividend
Historical Volatility,0.8540000000000001
Last (size),20.0
Last (time),1:00p ET 11/25/22
Market Cap,341.2M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,2.88
Shares Outstanding,118.9M
Short Interest,0.2394
Today's Open,2.89
Volume,616039.0
Volume 10-day Avg,2355843.0
Volume Past Day,(Light)
