,HRTX
Price/Earnings (TTM),
Price/Sales (TTM),3.47113
Price/Book (MRQ),15.18403
Price/Cash Flow (TTM),
5yr Low,2.19
5yr High,42.9
5yr Avg Return,-0.1552
EPS Growth 5yr,
Revenue Growth 5yr,1.322065
Dividend Growth 5yr,
Short Int Current Month,28397355.0
Short Int Prev Month,28773689.0
Short Int Pct of Float,0.2394054
Days to Cover,10.23252
Float,118.6162
Shares Outstanding,118.8881
Institutions Holding Shares,241.0
% Held by Institutions,1.024569
FCF Growth 5yr,0.11985521003968254
