,HRTX
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.18454935622317603
Growth 1yr High Est,-0.24434389140271495
Growth 1yr Consensus Est,-0.2144466238129455
Growth 2yr Low Est,-0.3291167833747459
Growth 2yr High Est,-0.4006150594738126
Growth 2yr Consensus Est,-0.36486592142427926
Growth 5yr Low Est,-0.17840397992266707
Growth 5yr High Est,-0.20888586884246269
Growth 5yr Consensus Est,-0.19364492438256486
Growth 5yr Actual/Est,-0.20382532557221783
Growth 3yr Historic,-0.025999999999999968
