,KTB
% Below High,0.2254
% Held by Institutions,0.9338
52-Wk Range,['30.98 - 57.64']
Annual Dividend $,1.92
Annual Dividend %,0.043
Ask,55.0
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,1.2
Bid,36.12
Bid Size,1000.0
Closing Price,44.65
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-19 00:00:00
"EPS (TTM, GAAP)",4.14
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.498
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,2.5B
"P/E Ratio (TTM, GAAP)",10.78
Prev Close,44.65
Shares Outstanding,55.5M
Short Interest,0.095
Today's Open,
Volume,195740.0
Volume 10-day Avg,445749.0
Volume Past Day,(Light)
