,KTB
Price/Earnings (TTM),10.78388
Price/Sales (TTM),0.95955
Price/Book (MRQ),11.90055
Price/Cash Flow (TTM),8.98766
5yr Low,12.91
5yr High,69.16
5yr Avg Return,0.030350000000000002
EPS Growth 5yr,-0.09784230000000001
Revenue Growth 5yr,-0.0328841
Dividend Growth 5yr,
Short Int Current Month,5188935.0
Short Int Prev Month,5609207.0
Short Int Pct of Float,0.09497109999999999
Days to Cover,8.20043
Float,54.65963
Shares Outstanding,55.46564
Institutions Holding Shares,379.0
% Held by Institutions,0.9338190000000001
FCF Growth 5yr,-0.5165143478465556
