,MAR
% Above Low,0.24059999999999998
% Held by Institutions,0.5951
52-Wk Range,['131.01 - 195.90']
Annual Dividend $,1.6
Annual Dividend %,0.0098
Ask,162.9
Ask Size,100.0
Ask close,173.91
B/A Ratio,7.0
B/A Size,700x100
Beta,1.6
Bid,140.0
Bid Size,700.0
Bid close,153.37
Change Since Close,-1.20| |(-0.74%)
Closing Price,162.53
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",6.55
Ex-dividend,2022-11-22 00:00:00
Ex-dividend Date,11/22/22
Historical Volatility,0.39
Last (size),88.0
Last (time),1:00p ET 11/25/22
Last Trade,161.33
Market Cap,51.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.8
Prev Close,162.53
Shares Outstanding,316.5M
Short Interest,0.0181
Today's Open,
Volume,624.0
Volume 10-day Avg,1811244.0
Volume Past Day,(Light)
