,MAR
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,0.1054421768707483
Growth 1yr High Est,0.11111111111111094
Growth 1yr Consensus Est,0.10827664399092962
Growth 2yr Low Est,0.033490319204604935
Growth 2yr High Est,0.19040404040404046
Growth 2yr Consensus Est,0.1119471798043227
Growth 5yr Low Est,0.016745159602302467
Growth 5yr High Est,0.09520202020202023
Growth 5yr Consensus Est,0.05597358990216135
Growth 5yr Actual/Est,4.24255848009107
Growth 3yr Historic,3.938055555555555
