,MAR
Price/Earnings (TTM),24.80242
Price/Sales (TTM),2.66621
Price/Book (MRQ),49.75283
Price/Cash Flow (TTM),21.10221
5yr Low,46.56
5yr High,195.9
5yr Avg Return,0.06605
EPS Growth 5yr,0.040804299999999995
Revenue Growth 5yr,-0.020983
Dividend Growth 5yr,
Short Int Current Month,4644248.0
Short Int Prev Month,5149766.0
Short Int Pct of Float,0.0181278
Days to Cover,2.02451
Float,256.2755
Shares Outstanding,316.5396
Institutions Holding Shares,1425.0
% Held by Institutions,0.595074
FCF Growth 5yr,0.6250717318076779
