,LNTH
Price/Earnings (TTM),39.25084
Price/Sales (TTM),5.0199
Price/Book (MRQ),6.3034
Price/Cash Flow (TTM),25.90121
5yr Low,8.67
5yr High,87.47
5yr Avg Return,0.29855
EPS Growth 5yr,
Revenue Growth 5yr,0.0709303
Dividend Growth 5yr,
Short Int Current Month,2593472.0
Short Int Prev Month,3250015.0
Short Int Pct of Float,0.038569
Days to Cover,1.67695
Float,67.17711
Shares Outstanding,68.83209
Institutions Holding Shares,435.0
% Held by Institutions,0.9764849999999999
FCF Growth 5yr,3.3263995049915067
