,LNTH
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,11.290322580645162
Growth 1yr High Est,5.982142857142857
Growth 1yr Consensus Est,8.636232718894009
Growth 2yr Low Est,5.56248412496825
Growth 2yr High Est,3.04350109609061
Growth 2yr Consensus Est,4.30299261052943
Growth 5yr Low Est,2.601061882303945
Growth 5yr High Est,1.3945575655891647
Growth 5yr Consensus Est,1.9978097239465546
Growth 5yr Actual/Est,1.577549369725598
Growth 3yr Historic,-0.13893435170030913
