,LNTH
% Below High,0.3318
% Held by Institutions,0.9765
52-Wk Range,['23.51 - 87.47']
Annual Dividend $,
Annual Dividend %,
Ask,78.89
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,0.7
Bid,50.0
Bid Size,400.0
Closing Price,58.45
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.49
Ex-dividend Date,No dividend
Historical Volatility,0.662
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,4.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",39.25
Prev Close,58.45
Shares Outstanding,68.8M
Short Interest,0.038599999999999995
Today's Open,
Volume,322358.0
Volume 10-day Avg,934690.0
Volume Past Day,(Light)
