,AON
Price/Earnings (TTM),23.8423
Price/Sales (TTM),5.11066
Price/Book (MRQ),
Price/Cash Flow (TTM),20.28758
5yr Low,130.87
5yr High,341.98
5yr Avg Return,0.15996666666666667
EPS Growth 5yr,0.0424066
Revenue Growth 5yr,0.0532062
Dividend Growth 5yr,0.0905678
Short Int Current Month,1638914.0
Short Int Prev Month,1649901.0
Short Int Pct of Float,0.0086486
Days to Cover,2.3703
Float,189.5291
Shares Outstanding,206.8529
Institutions Holding Shares,1315.0
% Held by Institutions,0.8766719999999999
FCF Growth 5yr,0.5201709940629292
