,AON
% Below High,0.10210000000000001
% Held by Institutions,0.8767
52-Wk Range,['246.21 - 341.98']
Annual Dividend $,2.24
Annual Dividend %,0.0073
Ask,320.0
Ask Size,300.0
B/A Ratio,1.6666666666666667
B/A Size,500x300
Beta,0.9
Bid,306.4
Bid Size,500.0
Closing Price,307.08
Day Change $,2.84
Day Change %,0.009300000000000001
Day High,308.14
Day Low,302.57
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",12.88
Ex-dividend,2022-10-31 00:00:00
Ex-dividend Date,10/31/22
Historical Volatility,0.281
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,63.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",23.84
Prev Close,304.24
Shares Outstanding,206.9M
Short Interest,0.0086
Today's Open,304.83
Volume,262996.0
Volume 10-day Avg,663872.0
Volume Past Day,(Light)
