,HLIT
% Below High,0.056299999999999996
% Held by Institutions,0.9688
52-Wk Range,['8.25 - 15.80']
Annual Dividend $,
Annual Dividend %,
Ask,14.9
Ask Size,100.0
B/A Ratio,8.0
B/A Size,800x100
Beta,0.8
Bid,14.8
Bid Size,800.0
Closing Price,14.91
Day Change $,0.15
Day Change %,0.0102
Day High,14.99
Day Low,14.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.36
Ex-dividend Date,No dividend
Historical Volatility,0.446
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,1.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",41.18
Prev Close,14.76
Shares Outstanding,105.4M
Short Interest,0.0898
Today's Open,14.76
Volume,549659.0
Volume 10-day Avg,1447913.0
Volume Past Day,(Light)
