,HLIT
Price/Earnings (TTM),41.17647
Price/Sales (TTM),2.55027
Price/Book (MRQ),5.2286
Price/Cash Flow (TTM),28.95986
5yr Low,2.9
5yr High,15.8
5yr Avg Return,0.26111666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.0455407
Dividend Growth 5yr,
Short Int Current Month,9206295.0
Short Int Prev Month,10508793.0
Short Int Pct of Float,0.0898061
Days to Cover,4.15113
Float,102.5259
Shares Outstanding,105.4364
Institutions Holding Shares,270.0
% Held by Institutions,0.96881
FCF Growth 5yr,-0.5961999918736067
