,LMT
Price/Earnings (TTM),22.19899
Price/Sales (TTM),1.95764
Price/Book (MRQ),10.58852
Price/Cash Flow (TTM),17.59998
5yr Low,241.18
5yr High,494.66
5yr Avg Return,0.09885
EPS Growth 5yr,0.1351432
Revenue Growth 5yr,0.07230450000000001
Dividend Growth 5yr,0.09381389999999999
Short Int Current Month,3528893.0
Short Int Prev Month,2725526.0
Short Int Pct of Float,0.013475999999999998
Days to Cover,2.03962
Float,261.8643
Shares Outstanding,262.074
Institutions Holding Shares,2487.0
% Held by Institutions,0.728952
FCF Growth 5yr,0.43511762647361724
