,LMT
% Below High,0.0226
% Held by Institutions,0.7290000000000001
52-Wk Range,['328.20 - 494.66']
Annual Dividend $,12.0
Annual Dividend %,0.0248
Ask,495.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,470.0
Bid Size,100.0
Change Since Close,-0.01| |(0.00%)
Closing Price,483.46
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",21.78
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.262
Last (size),4.0
Last (time),5:00p ET 11/25/22
Last Trade,483.45
Market Cap,126.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",22.2
Prev Close,483.46
Shares Outstanding,262.1M
Short Interest,0.013500000000000002
Today's Open,
Volume,25.0
Volume 10-day Avg,1701805.0
Volume Past Day,(Light)
