,JBHT
% Above Low,0.1863
% Held by Institutions,0.7623000000000001
52-Wk Range,['153.92 - 218.18']
Annual Dividend $,1.6
Annual Dividend %,0.0088
Ask,183.25
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,181.95
Bid Size,100.0
Closing Price,182.6
Day Change $,2.24
Day Change %,0.0124
Day High,182.71
Day Low,178.92
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",9.56
Ex-dividend,2022-11-03 00:00:00
Ex-dividend Date,11/03/22
Historical Volatility,0.34
Last (size),50.0
Last (time),1:00p ET 11/25/22
Market Cap,18.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.1
Prev Close,180.36
Shares Outstanding,103.5M
Short Interest,0.0395
Today's Open,181.4
Volume,254775.0
Volume 10-day Avg,773619.0
Volume Past Day,(Light)
