,JBHT
Next Earnings Announcement,2023-01-18 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,0.5568181818181817
Growth 1yr High Est,0.42877697841726614
Growth 1yr Consensus Est,0.4927975801177239
Growth 2yr Low Est,0.21375841311972688
Growth 2yr High Est,0.25618103704347694
Growth 2yr Consensus Est,0.2349697250816019
Growth 5yr Low Est,0.16264585927085842
Growth 5yr High Est,0.21174141985920697
Growth 5yr Consensus Est,0.1871936395650327
Growth 5yr Actual/Est,0.19186524316765857
Growth 3yr Historic,0.10402949537160763
